property_type,region,area_m2,price_usd,lat,lon,state
apartment,Northeast,65,86219.8,-39.031994,-39.031994,Bahia
apartment,Northeast,74,109998.12,-39.037059,-39.037059,Bahia
apartment,Northeast,115,196592.39,-38.514156,-38.514156,Bahia
apartment,Northeast,110,131061.59,-38.450443,-38.450443,Bahia
apartment,Northeast,57,98296.19,-38.429649,-38.429649,Bahia
house,Northeast,182,102976.97,-39.02878,-39.02878,Bahia
apartment,Northeast,243,452474.56,-38.40873,-38.40873,Bahia
house,Northeast,115,93615.42,-39.028789,-39.028789,Bahia
house,Northeast,115,93615.42,-39.028789,-39.028789,Bahia
house,Northeast,159,109217.99,-39.028789,-39.028789,Bahia
house,Northeast,120,202833.42,-38.365459,-38.365459,Bahia
apartment,Northeast,58,76452.59,-38.367931,-38.367931,Bahia
apartment,Northeast,92,165387.25,-38.49419,-38.49419,Bahia
apartment,Northeast,77,140423.14,-38.510612,-38.510612,Bahia
apartment,Northeast,145,191131.49,-38.45739,-38.45739,Bahia
apartment,Northeast,90,99856.45,-38.3556842,-38.3556842,Bahia
apartment,Northeast,180,143543.65,-39.028094,-39.028094,Bahia
apartment,Northeast,203,265243.71,-38.45739,-38.45739,Bahia
apartment,Northeast,75,118579.54,-38.441444,-38.441444,Bahia
house,Northeast,110,218435.99,-38.32711,-38.32711,Bahia
apartment,Northeast,140,230918.05,-38.3982041,-38.3982041,Bahia
apartment,Northeast,210,343256.56,-38.3982041,-38.3982041,Bahia
apartment,Northeast,133,176777.13,-38.4560755,-38.4560755,Bahia
apartment,Northeast,130,112338.51,-38.5086421,-38.5086421,Bahia
apartment,Northeast,134,316732.19,-38.52298,-38.52298,Bahia
apartment,Northeast,120,186294.7,-38.4392045,-38.4392045,Bahia
apartment,Northeast,93,145103.91,-38.4560755,-38.4560755,Bahia
apartment,Northeast,70,123260.31,-38.5188762,-38.5188762,Bahia
apartment,Northeast,112,237159.08,-38.40873,-38.40873,Bahia
apartment,Northeast,168,343256.56,-38.5247961,-38.5247961,Bahia
apartment,Northeast,100,217811.89,-39.7,-39.7,Bahia
apartment,Northeast,105,113898.77,-38.4468721,-38.4468721,Bahia
apartment,Northeast,107,132621.85,-38.4560755,-38.4560755,Bahia
apartment,Northeast,72,124820.57,-38.4560755,-38.4560755,Bahia
apartment,Northeast,143,227797.54,-38.3982041,-38.3982041,Bahia
apartment,Northeast,90,124820.57,-38.4560755,-38.4560755,Bahia
apartment,Northeast,98,171628.28,-38.4665922,-38.4665922,Bahia
apartment,Northeast,78,98296.19,-38.4560755,-38.4560755,Bahia
apartment,Northeast,164,296448.85,-38.489021,-38.489021,Bahia
apartment,Northeast,164,296448.85,-38.489021,-38.489021,Bahia
apartment,Northeast,112,110778.25,-38.444553,-38.444553,Bahia
apartment,Northeast,70,87374.39,-39.025691,-39.025691,Bahia
house,Northeast,242,405666.85,-39.095634,-39.095634,Bahia
apartment,Northeast,70,118579.54,-38.498463,-38.498463,Bahia
apartment,Northeast,98,106097.48,-38.528656,-38.528656,Bahia
apartment,Northeast,154,436871.99,-38.52309,-38.52309,Bahia
apartment,Northeast,78,74892.34,-40.797218,-40.797218,Bahia
apartment,Northeast,87,156025.71,-39.037969,-39.037969,Bahia
house,Northeast,160,173600.15,-38.3314731,-38.3314731,Bahia
apartment,Northeast,104,88378.25,-38.2770374,-38.2770374,Bahia
apartment,Northeast,190,123260.31,-38.487831,-38.487831,Bahia
